iter	Logloss
0	0.6733769406
1	0.6548164738
2	0.6371019744
3	0.6220388204
4	0.6074773554
5	0.5938153724
6	0.5813590045
7	0.5698296433
8	0.5590700536
9	0.5491563607
10	0.5403356277
11	0.5320607922
12	0.5246674927
13	0.5174167741
14	0.5106743401
15	0.5044263499
16	0.4988478261
17	0.4935183253
18	0.4886002636
19	0.4841313568
20	0.4800357981
21	0.4759579269
22	0.4723046146
23	0.4694154438
24	0.4664824925
25	0.4636960366
26	0.4610659886
27	0.4586122095
28	0.4565085374
29	0.4543748046
30	0.4523236958
31	0.4505932472
32	0.4487307877
33	0.4470914271
34	0.445608312
35	0.4440027387
36	0.4426118322
37	0.4412662389
38	0.4400435447
39	0.4386563131
40	0.4376173978
41	0.4368269326
42	0.4358508804
43	0.4348662457
44	0.4339252081
45	0.4330979404
46	0.432542105
47	0.4316533941
48	0.4308434119
49	0.4301248077
50	0.4292957042
51	0.4285639102
52	0.4279415152
53	0.4274601059
54	0.4269166759
55	0.4263741189
56	0.4258735256
57	0.4253027723
58	0.4247476135
59	0.4242520081
60	0.4236746014
61	0.4232041667
62	0.4227188477
63	0.4223453167
64	0.4218284209
65	0.4214720842
66	0.4211774177
67	0.4208198322
68	0.4205059853
69	0.4201741564
70	0.4198647171
71	0.419437431
72	0.4190732925
73	0.4186902323
74	0.4184561997
75	0.418159751
76	0.4178228759
77	0.4175522351
78	0.4171713796
79	0.4169663191
80	0.4167246464
81	0.41640442
82	0.4162123544
83	0.4158713807
84	0.4156376103
85	0.4153944399
86	0.4151279557
87	0.4149452016
88	0.4147159056
89	0.4144751463
90	0.4142241098
91	0.4139978147
92	0.413792031
93	0.4136473761
94	0.4134741765
95	0.4132835001
96	0.4129853527
97	0.4128079936
98	0.4125137779
99	0.4122588166
100	0.412092467
101	0.4118956177
102	0.4116979435
103	0.4115386193
104	0.4113173176
105	0.4111908113
106	0.4109284275
107	0.4107986893
108	0.4106798527
109	0.4104960656
110	0.4103266758
111	0.4101646917
112	0.4098933082
113	0.4097191798
114	0.4095363764
115	0.4094224214
116	0.4093336575
117	0.4091638322
118	0.4089854828
119	0.4087709493
120	0.4086064343
121	0.4083729827
122	0.4082946557
123	0.4081204413
124	0.4079806801
125	0.4078832456
126	0.4077768733
127	0.407610035
128	0.4074100311
129	0.4072167947
130	0.4071004
131	0.406945676
132	0.4067289636
133	0.4065836102
134	0.4063584642
135	0.406187131
136	0.4060873624
137	0.4059443731
138	0.4057631456
139	0.4055719639
140	0.4054433279
141	0.4053010474
142	0.4051340329
143	0.4049700636
144	0.4048842171
145	0.4047635329
146	0.4046347668
147	0.40448556
148	0.4044005779
149	0.4042537407
150	0.4040395138
151	0.4039190027
152	0.4037934233
153	0.4035711094
154	0.4035034891
155	0.4033427488
156	0.4032129007
157	0.4030488428
158	0.4029195209
159	0.4028240571
160	0.4026587015
161	0.4026143885
162	0.4024632609
163	0.402297044
164	0.4022130837
165	0.4021771429
166	0.4020536394
167	0.4019072601
168	0.4017356966
169	0.4016367813
170	0.4014675072
171	0.4014027711
172	0.4013234111
173	0.4012223943
174	0.4011407323
175	0.4010843432
176	0.4009815162
177	0.4007759731
178	0.4006751303
179	0.4005705572
180	0.4005303344
181	0.4004260888
182	0.4003521252
183	0.4001939655
184	0.400157099
185	0.4000988022
186	0.3999954766
187	0.3999253739
188	0.3996991828
189	0.3996180982
190	0.3994896414
191	0.3994098981
192	0.3992726401
193	0.3991293204
194	0.3990724586
195	0.3989861219
196	0.3988874184
197	0.3986848409
198	0.3984906349
199	0.398354423
200	0.3982713103
201	0.3981033817
202	0.3979863479
203	0.3978585092
204	0.3977664232
205	0.3976341991
206	0.3975119754
207	0.3973376984
208	0.3971935799
209	0.3971232515
210	0.3969909628
211	0.3968753431
212	0.3967974755
213	0.3967284817
214	0.3966516921
215	0.396513075
216	0.3963361836
217	0.396286566
218	0.3960642151
219	0.3959992411
220	0.3958713663
221	0.3958158742
222	0.3957502977
223	0.3956728021
224	0.3955216914
225	0.3954395161
226	0.3952883596
227	0.3952096231
228	0.3950374794
229	0.3949477895
230	0.3947243269
231	0.3946513405
232	0.3945653307
233	0.3944160477
234	0.3943674505
235	0.394243946
236	0.394140787
237	0.3940965392
238	0.3939115044
239	0.3937975487
240	0.3935805311
241	0.3934572967
242	0.3932595047
243	0.3931467496
244	0.393067471
245	0.3929309588
246	0.392758439
247	0.3926331036
248	0.3924613754
249	0.392321394
250	0.3922211618
251	0.392095974
252	0.3920225403
253	0.3919486294
254	0.3917715621
255	0.3916350831
256	0.3915238567
257	0.391336422
258	0.3912531244
259	0.3911283705
260	0.3909982414
261	0.3908088302
262	0.3905925685
263	0.3905413162
264	0.3903408629
265	0.3902223484
266	0.3901389654
267	0.3900931459
268	0.3899858379
269	0.3898512294
270	0.389791937
271	0.3896427765
272	0.3895807688
273	0.3894928952
274	0.3893492436
275	0.3892676821
276	0.3891822138
277	0.3890658313
278	0.3889132619
279	0.3887437423
280	0.3886045895
281	0.3884699662
282	0.3883946156
283	0.3883446306
284	0.3881378976
285	0.3879923739
286	0.3879130311
287	0.3878037951
288	0.3876521944
289	0.3874835273
290	0.3873925846
291	0.38726775
292	0.3871459848
293	0.3871076227
294	0.3870379621
295	0.3868682096
296	0.3867646083
297	0.3867001899
298	0.3865299703
299	0.3863553346
300	0.3862206176
301	0.3861159499
302	0.3860638833
303	0.3859518232
304	0.3857879709
305	0.3857129015
306	0.3856290364
307	0.385569898
308	0.3854692498
309	0.3853799614
310	0.3851929073
311	0.385169418
312	0.3850138895
313	0.3849334627
314	0.3848861899
315	0.3848513138
316	0.384763742
317	0.3845780023
318	0.3843939428
319	0.3841933084
320	0.3841018921
321	0.384047058
322	0.3838870941
323	0.3838585545
324	0.3836850011
325	0.383602907
326	0.3835639172
327	0.3834082492
328	0.3832859409
329	0.3831554082
330	0.3829999275
331	0.3829084312
332	0.3827613795
333	0.3825836605
334	0.3823720405
335	0.3822517948
336	0.3821134362
337	0.3820114945
338	0.3818297781
339	0.3816869421
340	0.3814563908
341	0.3813182675
342	0.3812453964
343	0.381093003
344	0.3808955985
345	0.3808194089
346	0.3806934971
347	0.3805989982
348	0.3804295486
349	0.3802949215
350	0.3801243078
351	0.3799957739
352	0.3799753958
353	0.3798484938
354	0.3797270805
355	0.3794863817
356	0.3793381932
357	0.3792064321
358	0.3790561437
359	0.3789900799
360	0.3788934233
361	0.3786877674
362	0.3785743656
363	0.3784676342
364	0.3781987827
365	0.3780355554
366	0.3778910883
367	0.3777598873
368	0.3775265563
369	0.3775051445
370	0.3772962312
371	0.377135717
372	0.3770104065
373	0.376910393
374	0.3767714094
375	0.3767593525
376	0.3766442944
377	0.3764758161
378	0.376348026
379	0.3761849709
380	0.3761792392
381	0.3760534086
382	0.3759501087
383	0.3758744037
384	0.3758647685
385	0.3757433925
386	0.3755934409
387	0.3754776755
388	0.3754683735
389	0.3753308242
390	0.3752887568
391	0.3751239198
392	0.3749705551
393	0.3748315936
394	0.3746637002
395	0.3745528489
396	0.3744273207
397	0.3742981929
398	0.3741000357
399	0.3739117951
400	0.3737501358
401	0.3736508422
402	0.3734771792
403	0.3733210708
404	0.3733163378
405	0.3731403557
406	0.3730322906
407	0.3729115785
408	0.3727471132
409	0.3726421601
410	0.3724752786
411	0.3723376656
412	0.3722795645
413	0.3720425962
414	0.3719601098
415	0.3718798519
416	0.3717932344
417	0.3717856465
418	0.3717741072
419	0.3717424505
420	0.3716394767
421	0.3716341089
422	0.3716260489
423	0.3714829732
424	0.3713224818
425	0.3712128766
426	0.3711041337
427	0.3709519544
428	0.3708615761
429	0.3707776639
430	0.3707736187
431	0.3707186573
432	0.3705611893
433	0.3704268642
434	0.3703014562
435	0.3702565634
436	0.3701296539
437	0.369985609
438	0.3698096545
439	0.3696870598
440	0.3696326974
441	0.3695150471
442	0.3693924732
443	0.3693104304
444	0.3692085068
445	0.3690347313
446	0.3689636373
447	0.3687875641
448	0.368685583
449	0.368613834
450	0.3685409962
451	0.3683755276
452	0.3683091028
453	0.368157687
454	0.3680889256
455	0.3679533533
456	0.3677708603
457	0.3677240631
458	0.3675928933
459	0.3675294349
460	0.36745056
461	0.3673007572
462	0.3671819556
463	0.3671178677
464	0.366960546
465	0.3669221061
466	0.366754995
467	0.3665939009
468	0.366516164
469	0.3663495793
470	0.3661579291
471	0.3660139652
472	0.3658765424
473	0.3658012686
474	0.3656186243
475	0.365476941
476	0.3654149439
477	0.3653112767
478	0.3651538365
479	0.3650163364
480	0.3648601797
481	0.3647515461
482	0.3645470483
483	0.364391606
484	0.3643272917
485	0.3642196947
486	0.3640610988
487	0.3639787386
488	0.3638422063
489	0.3637537269
490	0.3636577728
491	0.3634793786
492	0.363364076
493	0.3632684253
494	0.3631097479
495	0.3630277445
496	0.3629102644
497	0.3628085112
498	0.3626428935
499	0.3626359263
500	0.3625154206
501	0.3623625402
502	0.3622091867
503	0.3620956169
504	0.3619625501
505	0.3618418285
506	0.3617323419
507	0.3616109117
508	0.3614939177
509	0.3613873496
510	0.361244923
511	0.3611159033
512	0.3609833691
513	0.3609105471
514	0.3607866038
515	0.3607155175
516	0.3606372984
517	0.3605221658
518	0.3603829035
519	0.3602811543
520	0.3601561451
521	0.3600210603
522	0.3598404317
523	0.3597468891
524	0.359618097
525	0.3594642389
526	0.3593423418
527	0.3591617504
528	0.3590176099
529	0.3590107643
530	0.358885657
531	0.3587868825
532	0.3587459646
533	0.3586364387
534	0.3585490793
535	0.3584636357
536	0.3582841143
537	0.3581782791
538	0.3581208197
539	0.3579750012
540	0.3578459222
541	0.3577541344
542	0.3575923857
543	0.3574774427
544	0.3573829716
545	0.3573008974
546	0.3571707461
547	0.3570368016
548	0.3568525677
549	0.3567015976
550	0.3566439795
551	0.356566456
552	0.3564803161
553	0.3563341064
554	0.3562227271
555	0.3560801286
556	0.3559465275
557	0.3558442048
558	0.3557416784
559	0.3556072142
560	0.3555249978
561	0.3553786351
562	0.3551826434
563	0.3550993167
564	0.3549939347
565	0.3549064233
566	0.3548222927
567	0.3547076367
568	0.3546177972
569	0.3545211425
570	0.3543676762
571	0.3542456537
572	0.3541746211
573	0.3541343027
574	0.3539947664
575	0.353835852
576	0.3537611478
577	0.3536834378
578	0.3536173024
579	0.3535619885
580	0.3534380403
581	0.3533356877
582	0.3532061196
583	0.3530938014
584	0.3530214263
585	0.3529082262
586	0.3528041632
587	0.3527162873
588	0.3525900931
589	0.3525555291
590	0.3524885385
591	0.3523507923
592	0.3522468649
593	0.3521917878
594	0.3521501729
595	0.3520607389
596	0.3519607386
597	0.3518262984
598	0.3517367178
599	0.3516411351
600	0.3515270741
601	0.3514445327
602	0.3513891655
603	0.3512986559
604	0.3512023883
605	0.3510224823
606	0.3509131268
607	0.3507797935
608	0.3506635826
609	0.3505561747
610	0.3504147998
611	0.3503275824
612	0.3502764042
613	0.3501779552
614	0.3500788965
615	0.3500007511
616	0.3499620168
617	0.3498624507
618	0.3497573146
619	0.3496505301
620	0.3495001868
621	0.3494079793
622	0.349298263
623	0.3492247848
624	0.3492168287
625	0.3491218477
626	0.3490218995
627	0.3489481316
628	0.3488631973
629	0.3487810525
630	0.3486462106
631	0.3485772493
632	0.3484949732
633	0.3484453417
634	0.3483362069
635	0.3482684373
636	0.3482024759
637	0.3481456003
638	0.3480452868
639	0.3478867812
640	0.3478106978
641	0.3477130474
642	0.3476203151
643	0.3475111901
644	0.3474212101
645	0.3472689635
646	0.3471767873
647	0.3470985984
648	0.3469167059
649	0.3468460607
650	0.346801269
651	0.3467625479
652	0.3465751838
653	0.3465012246
654	0.3463840104
655	0.3462860209
656	0.3461845793
657	0.3460944758
658	0.3460324564
659	0.3459316898
660	0.3458095962
661	0.3457163125
662	0.3456435996
663	0.3454821337
664	0.3452980008
665	0.3452034077
666	0.3451060331
667	0.3450997578
668	0.3450925293
669	0.3449020804
670	0.3447542022
671	0.3446684038
672	0.3445474306
673	0.3445068285
674	0.3443853846
675	0.3442932378
676	0.3442453216
677	0.3441221827
678	0.3440560526
679	0.3440488652
680	0.3439556697
681	0.3439493578
682	0.3439428139
683	0.343796557
684	0.3436338545
685	0.3435081983
686	0.3435018452
687	0.3434032665
688	0.3433477659
689	0.3431678413
690	0.3430657292
691	0.3429765624
692	0.3428651731
693	0.3427150587
694	0.3426257231
695	0.3425688141
696	0.3424927864
697	0.3423682032
698	0.3422280418
699	0.3420959176
700	0.3419677043
701	0.3418688377
702	0.3417887342
703	0.3416825354
704	0.3415893716
705	0.3415866229
706	0.3415073277
707	0.3414114267
708	0.3412999294
709	0.3411833942
710	0.341114535
711	0.3411083103
712	0.3411056553
713	0.3409907067
714	0.3408770603
715	0.3407873836
716	0.3407559379
717	0.3406126123
