iter	Passed	Remaining
0	3	3047
1	7	3951
2	9	3253
3	11	2852
4	12	2508
5	14	2399
6	17	2442
7	20	2534
8	22	2455
9	27	2771
10	30	2702
11	31	2619
12	33	2540
13	35	2516
14	41	2721
15	44	2746
16	46	2703
17	50	2728
18	53	2779
19	60	2974
20	62	2918
21	65	2894
22	69	2972
23	71	2926
24	76	2984
25	77	2918
26	79	2853
27	80	2804
28	82	2769
29	84	2718
30	86	2700
31	92	2792
32	95	2792
33	97	2771
34	98	2726
35	100	2685
36	101	2653
37	103	2613
38	104	2576
39	109	2629
40	111	2610
41	115	2637
42	120	2684
43	123	2683
44	125	2655
45	128	2658
46	130	2651
47	132	2634
48	135	2624
49	137	2603
50	138	2581
51	140	2557
52	142	2541
53	145	2557
54	149	2570
55	153	2580
56	154	2559
57	157	2552
58	161	2569
59	163	2553
60	165	2554
61	167	2538
62	169	2528
63	171	2513
64	174	2503
65	176	2502
66	181	2527
67	183	2519
68	185	2504
69	187	2495
70	191	2507
71	193	2490
72	194	2474
73	197	2465
74	198	2450
75	200	2435
76	201	2420
77	203	2408
78	206	2401
79	208	2396
80	210	2388
81	212	2376
82	213	2359
83	214	2341
84	216	2327
85	220	2348
86	229	2404
87	233	2418
88	235	2412
89	241	2438
90	242	2426
91	246	2434
92	248	2427
93	252	2435
94	254	2422
95	256	2412
96	257	2401
97	259	2390
98	261	2382
99	263	2371
100	266	2369
101	268	2362
102	270	2356
103	272	2348
104	274	2338
105	276	2333
106	279	2332
107	282	2337
108	284	2328
109	288	2337
110	290	2329
111	292	2320
112	294	2310
113	295	2300
114	298	2295
115	300	2293
116	302	2285
117	304	2273
118	305	2264
119	307	2255
120	312	2266
121	313	2259
122	320	2284
123	322	2278
124	323	2267
125	325	2255
126	326	2244
127	327	2233
128	329	2224
129	331	2215
130	332	2207
131	339	2233
132	343	2239
133	345	2231
134	346	2222
135	348	2215
136	351	2213
137	353	2209
138	355	2202
139	358	2200
140	360	2193
141	361	2186
142	363	2178
143	364	2169
144	366	2159
145	368	2157
146	374	2173
147	376	2165
148	377	2157
149	378	2147
150	380	2140
151	382	2133
152	385	2132
153	386	2124
154	388	2116
155	389	2108
156	391	2101
157	393	2098
158	395	2093
159	397	2087
160	403	2102
161	405	2096
162	406	2086
163	408	2080
164	417	2114
165	419	2106
166	420	2097
167	421	2089
168	424	2086
169	425	2079
170	428	2078
171	436	2101
172	438	2094
173	439	2086
174	441	2083
175	444	2079
176	446	2074
177	450	2080
178	452	2074
179	454	2069
180	455	2062
181	457	2055
182	459	2049
183	461	2046
184	466	2057
185	468	2050
186	469	2042
187	472	2039
188	475	2040
189	477	2035
190	479	2030
191	480	2023
192	482	2016
193	483	2009
194	485	2004
195	491	2015
196	497	2026
197	498	2021
198	500	2015
199	502	2011
200	505	2008
201	506	2001
202	509	1999
203	511	1996
204	513	1993
205	515	1987
206	517	1983
207	519	1976
208	520	1970
209	521	1963
210	529	1979
211	531	1974
212	533	1969
213	534	1964
214	536	1958
215	537	1951
216	539	1944
217	540	1938
218	542	1934
219	544	1929
220	546	1925
221	549	1924
222	550	1918
223	552	1912
224	553	1907
225	558	1911
226	560	1908
227	564	1910
228	566	1908
229	570	1909
230	571	1904
231	573	1899
232	575	1895
233	577	1889
234	579	1885
235	581	1882
236	584	1881
237	589	1886
238	591	1882
239	592	1876
240	594	1873
241	597	1872
242	599	1866
243	605	1876
244	608	1873
245	609	1868
246	611	1864
247	613	1858
248	614	1853
249	616	1848
250	621	1853
251	624	1853
252	626	1850
253	630	1851
254	631	1845
255	633	1840
256	634	1835
257	636	1830
258	643	1842
259	645	1836
260	647	1833
261	649	1830
262	651	1824
263	652	1818
264	653	1812
265	655	1807
266	657	1804
267	658	1799
268	660	1795
269	662	1790
270	663	1785
271	665	1780
272	667	1777
273	669	1774
274	671	1770
275	675	1771
276	680	1775
277	682	1773
278	685	1772
279	689	1774
280	691	1768
281	692	1762
282	694	1758
283	696	1755
284	698	1751
285	700	1747
286	702	1744
287	703	1739
288	706	1737
289	713	1747
290	717	1747
291	719	1744
292	721	1739
293	722	1734
294	723	1730
295	725	1724
296	726	1720
297	729	1717
298	731	1715
299	733	1711
300	737	1713
301	740	1710
302	742	1708
303	749	1714
304	750	1710
305	752	1706
306	753	1701
307	755	1696
308	756	1691
309	757	1686
310	759	1682
311	761	1679
312	763	1676
313	767	1677
314	769	1674
315	771	1670
316	777	1675
317	779	1671
318	782	1670
319	784	1666
320	789	1669
321	791	1666
322	794	1664
323	796	1660
324	797	1655
325	798	1651
326	800	1647
327	803	1645
328	805	1642
329	811	1647
330	813	1643
331	815	1641
332	819	1641
333	821	1637
334	825	1638
335	829	1639
336	831	1635
337	833	1631
338	834	1627
339	837	1625
340	839	1621
341	841	1618
342	842	1614
343	845	1612
344	847	1608
345	848	1603
346	850	1600
347	852	1596
348	854	1593
349	855	1589
350	857	1585
351	860	1584
352	864	1584
353	869	1585
354	871	1583
355	872	1578
356	874	1575
357	876	1571
358	882	1574
359	885	1573
360	887	1570
361	888	1566
362	890	1561
363	891	1557
364	893	1553
365	893	1548
366	895	1543
367	904	1554
368	906	1550
369	907	1545
370	909	1542
371	912	1540
372	914	1536
373	916	1533
374	919	1532
375	921	1529
376	922	1524
377	924	1520
378	925	1516
379	927	1512
380	931	1513
381	933	1509
382	937	1510
383	941	1509
384	942	1506
385	944	1501
386	945	1497
387	947	1493
388	949	1492
389	951	1487
390	952	1483
391	955	1481
392	957	1479
393	962	1479
394	963	1476
395	965	1472
396	966	1468
397	968	1464
398	969	1460
399	971	1456
400	977	1460
401	981	1459
402	982	1455
403	983	1451
404	985	1447
405	986	1443
406	987	1439
407	992	1440
408	995	1439
409	997	1435
410	998	1431
411	1000	1427
412	1002	1424
413	1005	1422
414	1006	1419
415	1009	1417
416	1013	1416
417	1014	1413
418	1016	1409
419	1017	1405
420	1019	1401
421	1020	1397
422	1021	1393
423	1023	1390
424	1025	1386
425	1026	1383
426	1028	1380
427	1030	1377
428	1032	1374
429	1033	1370
430	1035	1366
431	1036	1362
432	1037	1358
433	1039	1355
434	1041	1352
435	1043	1349
436	1044	1346
437	1046	1342
438	1047	1338
439	1054	1341
440	1056	1339
441	1058	1336
442	1060	1333
443	1063	1332
444	1065	1328
445	1066	1324
446	1068	1321
447	1069	1318
448	1071	1315
449	1074	1313
450	1075	1309
451	1077	1305
452	1078	1302
453	1080	1299
454	1084	1299
